Store Name,Location Code
A BEARCOMBY & FISH,LWNO9
AIR POSTAL,3SBSW
ALL DOE,4O6ML
ALTAR’D STATE FLAGS,2IBQN
AMERICAN EAGLES,NUBVU
AMERICAN GIRL® BISTRO,2JWPY
AMERICAN GIRL® STORE,TZCRB
APPLES,MGLJU
AUNTIE ANNE’S YOGA,XF8X5
ARMOIRE EXCHANGE,33BMQ
B&B NEWS & MORE,OPXYI
BACHERACH’S JEWELERS,TH95Q
BANANA'S REPUBLIC,2R50Y
BANTER,I4461
BATHS FOR BATHS & TILE WORK,5WZKK
BEARFRUIT JEWELRY,49QEL
BOXLUNCH,XKR51
BRAHMIN,5MPZU
BUCKLES,I84X9
BUILD-A-BEAR GYM,L1A36
CANDY LAND,RXWVV
CHAMPS KIDS,M6F1M
CHAMPS SPORTS,MKPDX
CHARLEY’S PHILLY STEAKS,7T02H
CINNABON,93VRN
CLAIRE’S,XQTML
CLUB MONACO,6R2PX
CORNER BAKERY,7LNVP
COTTON ON,S1ZUR
DALLAS COWBOYS PRO SHOP,2RUUS
DENIM STUDIO,1MU0Y
EARTHBOUND TRADING CO.,F53V0
ELEVATE A HOSPITALITY INITIATIVE,ZV3T2
ELOTECA,OQTI5
EXPRESS,T5JEV
EYE CANDY COUTURE,9HI6J
FAST FIX JEWELRY AND WATCH REPAIRS,BT5QU
FIVE GUYS FAMOUS BURGERS AND FRIES,I7FSM
FOOT LOCKER,WAXU8
FOREVER 21,N99WB
FOSSIL,KC8PB
FRANCESCA’S,96AIM
GALLERIA ICE SKATING CENTER,10K2R
GAMEDAY CONNEXION,2IMNK
GAP,WX0NL
GENERAL NUTRITION CENTER,9GQWS
GO! GAMES & TOYS,EWPBV
GRAND LUX CAFÉ,XNOJL
GREEN-BIOTICS,ZJUM7
GUCCI,CFMN3
GUESS,Y04PG
H&M,ATXUG
HÄAGEN-DAZS,WM2FL
HOLLISTER CO.,67R3A
HOT TOPIC,9AEZT
IMAGE,CWTWI
JAMBA JUICE,DQ7OT
JD SPORTS,H5GIJ
JOHNSTON & MURPHY,73JK9
JOURNEYS,33RE1
JOURNEYS KIDZ,FL1ZY
KAY JEWELERS,SROLR
LENSCRAFTERS,E312Q
LENSCRAFTERS OPTOMETRIST,IA047
LIDS,5I989
LITTLE KATANA SUSHI BAR,K7K8K
LOUIS VUITTON,C3EGZ
LOVESAC,U72OU
LOVISA,WANKJ
LUCIANO EXPRESS PIZZERIA,2UZMQ
LUCKY BRAND JEANS,LQBLN
LULULEMON ATHLETICA,6F3HK
LUSH FRESH HANDMADE COSMETICS,7UQJT
M•A•C,RTAWN
MACY’S,NJDAD
MARBLE SLAB CREAMERY,9UFR8
MARCIANO,3I2FF
MARTIN LAWRENCE GALLERIES,7IHM0
MCDONALD’S,ANON3
MI COCINA,NZO6D
MICHAEL KORS,UEEU3
MORPHE,FAKMV
MOSAIC MAKERS COLLECTIVE,BR04G
NESTLÉ TOLL HOUSE CAFÉ,TTM97
NORDSTROM,IHUJS
NORDSTROM EBAR,CRD1F
NORDSTROM MARKETPLACE CAFÉ,AD0L7
O’CHI REFLEXOLOGY,AGZDI
OLD NAVY,ROMWQ
PACIUGO GELATO AND CAFFÉ,R1T1L
PACSUN,LNVF0
PANDA EXPRESS,0FHVS
PANDORA,CY0DV
PAPAYA CLOTHING,0R3JO
PELINDABA LAVENDER,NH1VJ
PERFUME VILLAGE,YE92M
PLEASE COME HOME,JZ4RK
RAISING CANE’S CHICKEN FINGERS,5QFOK
ROLEX PRESENTED BY BACHENDORF’S,TO157
SAAS BROW,KTYYQ
SBARRO FRESH ITALIAN,O6YPA
SECOND FLOOR KITCHEN,S88I8
SEPHORA,SIPR2
SHARETEA,KC2BN
SHOE PALACE,VJ106
SPENCER’S,40B11
SPRINKLES ATM,MAJC2
STARBUCKS COFFEE CO.,384G6
STEVE MADDEN,AYM0K
SUBWAY,DI20H
SUNGLASS HUT INTERNATIONAL,VVWSA
T-MOBILE,55XUO
TAX FREE SHOPPING,UIM6S
TEXAS TREASURES,DR40E
THAI EXPRESS,FDH8U
THE BLUE FISH SUSHI,QYVW3
THE CHILDREN’S PLACE,Y5VFQ
THE HAT COMPANY,NLUKS
THE NAIL SPA,BI4WM
THE OCEANAIRE,HE6GC
THIRSTY’S,D5AA2
TIFFANY & CO.,O6ZR1
TOMMY BAHAMA,D21LD
TONI&GUY,CZEUY
VANS,FBTUC
VICTORIA’S SECRET,DRG6S
WESTIN GALLERIA DALLAS,51UDA
WHITE BARN CANDLE,499HH
WINDSOR,UYIZZ
WOOPS!,FH6FF
XD RIDE,85QLT
ZAGG,6HIDE
ZALES JEWELERS,FPLKK
ZARA,MTMGB
ZUMIEZ,BJSXC
ZUZU'S TUTUS,CZ56IJ
